Ranked This Week,Ranked Last Week,Player Name,Events,Average Points,Total Points,Points Lost,Points Gained,
975,969,Andre De Decker,40,0.12,4.61,-0.47,0,
976,973,Peter Campbell,40,0.12,4.6,-0.29,0,
977,988,Mito Pereira,42,0.11,4.82,-0.28,0,
978,975,Ian Holt,40,0.11,4.58,-0.28,0,
979,976,Heung-Chol Joo,46,0.11,5.26,-0.33,0,
980,979,Drew Nesbitt,40,0.11,4.57,-0.2,0,
980,974,Joseph Winslow,42,0.11,4.79,-0.38,0,
982,981,Ryan Campbell,40,0.11,4.56,-0.16,0,
983,983,Byron Meth,40,0.11,4.55,-0.18,0,
983,978,Antti Ahokas,40,0.11,4.55,-0.29,0,
985,981,Brad Gehl,40,0.11,4.54,-0.2,0,
986,985,Joel Stalter,40,0.11,4.54,-0.17,0,
987,986,Bradley Neil,47,0.11,5.32,-0.2,0,
988,989,Hubert Tisserand,40,0.11,4.5,-0.18,0,
989,825,Rahil Gangjee,52,0.11,5.85,-0.79,0,
990,989,Kazuma Kobor,40,0.11,4.49,-0.23,0,
991,979,Michael Hoey,48,0.11,5.38,-0.53,0,
992,991,Young-Woon Kim,40,0.11,4.48,-0.22,0,
993,,Choi Min-Chel,42,0.11,4.69,-0.39,1.82,
994,996,Tag Ridings,40,0.11,4.45,-0.25,0,
994,984,J.J. Henry,52,0.11,5.79,-0.59,0,
994,995,Juran Dreyer,40,0.11,4.45,-0.24,1.4,
997,997,Daniel Young,40,0.11,4.45,-0.17,0,
998,991,Gareth Paddison,40,0.11,4.43,-0.36,0,
